Id,PostTypeId,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"43363","1","2019-01-01 03:53:02","0","35","<machine-learning><nlp>","1",""
"43366","1","2019-01-01 06:02:07","2","50","<deep-learning><convnet><image-classification>","1","1"
"43367","1","2019-01-01 06:16:26","0","24","<scikit-learn><tensorflow><scipy>","1",""
"43370","1","2019-01-01 10:06:03","2","37","<classification>","0",""
"43374","1","2019-01-01 13:18:02","3","37","<deep-learning><time-series><cnn><convolution>","1",""
"43375","1","2019-01-01 13:24:28","3","150","<machine-learning><dataset><dimensionality-reduction>","1",""
"43376","1","2019-01-01 14:19:59","4","1231","<machine-learning><python><xgboost>","1","1"
"43380","1","2019-01-01 19:15:29","1","119","<python><neural-network><keras><tensorflow>","1",""
"43381","1","2019-01-01 19:16:04","1","264","<machine-learning><homework>","0",""
"43385","1","2019-01-01 23:12:57","0","40","<optimization><theory>","1",""
"43386","1","2019-01-02 00:11:53","1","392","<machine-learning><sql><fuzzy-logic><evolutionary-algorithms>","1",""
"43392","1","2019-01-02 06:12:45","-1","119","<clustering><reference-request><terminology>","1",""
"43393","1","2019-01-02 09:20:02","1","23","<gaussian>","0",""
"43395","1","2019-01-02 12:20:38","1","51","<classification><unbalanced-classes><audio-recognition>","1",""
"43396","1","2019-01-02 12:54:11","1","30","<deep-learning><lstm><text-generation>","0",""
"43397","1","2019-01-02 13:09:28","0","539","<neural-network><categorical-data>","2","2"
"43400","1","2019-01-02 17:13:28","1","135","<predictive-modeling><labels>","0",""
"43401","1","2019-01-02 17:41:42","2","72","<feature-selection><svm>","0",""
"43404","1","2019-01-02 19:23:46","1","103","<feature-selection><random-forest><feature-engineering>","1",""
"43405","1","2019-01-02 20:13:27","1","179","<machine-learning><neural-network><training><optimization>","1",""
"43408","1","2019-01-02 23:15:37","0","72","<tensorflow><programming>","1",""
"43413","1","2019-01-03 03:08:26","0","249","<deep-learning><nlp><embeddings><deep-network>","1",""
"43416","1","2019-01-03 07:04:56","1","1091","<lstm><feature-scaling>","1",""
"43422","1","2019-01-03 10:06:09","0","64","<machine-learning><data><churn>","1","1"
"43423","1","2019-01-03 10:10:07","1","37","<machine-learning><predictive-modeling><accuracy>","1",""
"43425","1","2019-01-03 10:34:20","1","132","<python><pandas>","1",""
"43433","1","2019-01-03 15:16:26","0","138","<r><bigdata><data><data-cleaning>","1",""
"43436","1","2019-01-03 15:51:14","1","508","<machine-learning><python><multiclass-classification>","2",""
"43438","1","2019-01-03 16:32:26","2","135","<machine-learning><scikit-learn><predictive-modeling><overfitting>","0",""
"43439","1","2019-01-03 16:56:31","0","3398","<machine-learning><python><pandas><dataframe>","2",""
"43444","1","2019-01-03 17:55:45","3","457","<feature-selection><decision-trees><feature-engineering><feature-construction>","3",""
"43447","1","2019-01-03 19:10:53","1","522","<word2vec><activation-function>","2",""
"43450","1","2019-01-03 20:30:12","5","193","<machine-learning><python><cost-function>","2","5"
"43451","1","2019-01-03 21:07:05","2","409","<pytorch><gpu><google><colab>","0",""
"43455","1","2019-01-03 22:42:20","0","86","<orange>","1",""
